Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
nzpcuba278,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/25/04,Wintering,NT,0.9,Individual,
nzpcuba280,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/24/04,Wintering,NA,NA,Individual,Excluded from pop assignment due to low coverage (<0.1x)
nzpcuba281,CU,Boquer—n,Guant‡namo,Cuba,19.9224,-75.1357,1/31/04,Wintering,NA,NA,Individual,Excluded from pop assignment due to low coverage (<0.1x)
nzpcuba282,CU,Boquer—n,Guant‡namo,Cuba,19.9224,-75.1357,1/24/04,Wintering,BR,1,Individual,
nzpcuba284,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/11/04,Wintering,NT,0.9,Individual,
nzpcuba286,CU,Boquer—n,Guant‡namo,Cuba,19.9153,-75.1094,1/26/08,Wintering,NT,1,Individual,
nzpcuba80,CU,Boquer—n,Guant‡namo,Cuba,19.9224,-75.1357,2/1/04,Wintering,NT,1,Individual,
nzpcuba81,CU,Boquer—n,Guant‡namo,Cuba,19.9224,-75.1357,2/1/04,Wintering,NT,0.9,Individual,
nzpcuba82,CU,Boquer—n,Guant‡namo,Cuba,19.9841,-75.1154,2/4/04,Wintering,NA,NA,Individual,Excluded from pop assignment due to low coverage (<0.1x)
nzpcuba83,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/25/04,Wintering,NT,1,Individual,
nzpcuba84,CU,Boquer—n,Guant‡namo,Cuba,19.9841,-75.1154,2/4/04,Wintering,NA,NA,Individual,Excluded from pop assignment due to low coverage (<0.1x)
04N9003,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,3/3/04,Wintering,ST,0.6,Individual,
04N9004,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,3/5/04,Wintering,NT,0.7,Individual,
04N9005,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,2/29/04,Wintering,NT,0.7,Individual,
04N9760,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,10/31/04,Wintering,NT,0.9,Individual,
04N9761,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,11/3/04,Wintering,ST,0.5,Individual,
05N9588,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,12/29/05,Wintering,NT,0.6,Individual,
05N9589,JM,Windsor,Trelawny,Jamaica,18.356389,-77.646944,11/6/05,Wintering,WB,0.4,Individual,
nzpjam12017,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/16/17,Wintering,NT,0.7,Individual,
nzpjam12020,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/30/17,Wintering,ST,0.5,Individual,
nzpjam12024,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/15/17,Wintering,NT,1,Individual,
nzpjam12031,JM,Fonthill,St. Elizabeth,Jamaica,18.04007078,-77.94128054,4/17/17,Wintering,NT,0.7,Individual,
nzpjam12038,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/22/17,Wintering,NT,0.7,Individual,
nzpjam12042,JM,Fonthill,St. Elizabeth,Jamaica,18.03831687,-77.93725198,1/22/17,Wintering,ST,0.5,Individual,
nzpjam12043,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,1/15/17,Wintering,NT,0.9,Individual,
nzpjam12046,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/13/17,Wintering,NT,0.7,Individual,
nzpjam12064,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,4/3/17,Wintering,WB,0.7,Individual,
nzpjam12071,JM,Fonthill,St. Elizabeth,Jamaica,18.03531132,-77.93538515,3/10/17,Wintering,WB,0.6,Individual,
nzpjam12077,JM,Fonthill,St. Elizabeth,Jamaica,18.04241994,-77.94102177,2/7/17,Wintering,NT,0.5,Individual,
nzpjam7230,JM,Fonthill,St. Elizabeth,Jamaica,18.03831687,-77.93725198,3/28/17,Wintering,NT,1,Individual,
18N07897,MX6,La Palma,Tabasco,Mexico,17.974167,-92.803333,12/23/18,Wintering,WB,1,Individual,
18N07898,MX5,Boca del R’o,Veracruz,Mexico,19.111111,-96.116944,2/26/18,Wintering,WB,1,Individual,
18N07899,MX5,Boca del R’o,Veracruz,Mexico,19.111111,-96.116944,3/14/18,Wintering,WB,1,Individual,
19N01558,MX6,La Palma,Tabasco,Mexico,17.976667,-92.801667,1/31/19,Wintering,WB,1,Individual,
19N01559,MX7,Mexico City,Mexico City,Mexico,19.657235,-99.01527,11/13/19,Wintering,WB,1,Individual,
19N01560,MX6,La Palma,Tabasco,Mexico,18.006934,-92.8010591,2/3/19,Wintering,WB,1,Individual,
03N6492,MX2,Los Tuxtlas,Veracruz,Mexico,18.586944,-95.077222,12/2/03,Wintering,WB,1,Individual,
03N6493,MX2,Los Tuxtlas,Veracruz,Mexico,18.586944,-95.077222,12/2/03,Wintering,WB,1,Individual,
04N5238,MX2,Los Tuxtlas,Veracruz,Mexico,18.586944,-95.077222,1/23/04,Wintering,WB,1,Individual,
04N5239,MX2,Los Tuxtlas,Veracruz,Mexico,18.642222,-95.091111,2/3/04,Wintering,WB,1,Individual,
04N5240,MX2,Los Tuxtlas,Veracruz,Mexico,18.586944,-95.077222,2/8/04,Wintering,WB,1,Individual,
04N5241,MX2,Los Tuxtlas,Veracruz,Mexico,18.642222,-95.091111,3/16/04,Wintering,WB,1,Individual,
04N5242,MX2,Los Tuxtlas,Veracruz,Mexico,18.586944,-95.077222,11/14/04,Wintering,WB,1,Individual,
04N5245,MX2,Los Tuxtlas,Veracruz,Mexico,18.642222,-95.091111,11/26/04,Wintering,NT,0.9,Individual,
21N03174,CU,Boquer—n,Guant‡namo,Cuba,19.9343,-75.1138,1/22/04,Wintering,NT,1,Individual,
21N03175,CU,Boquer—n,Guant‡namo,Cuba,19.9343,-75.1138,1/22/04,Wintering,NT,1,Individual,
21N03176,CU,Boquer—n,Guant‡namo,Cuba,19.9343,-75.1138,1/22/04,Wintering,WB,0.6,Individual,
21N03177,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/31/04,Wintering,NT,0.8,Individual,
