Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset
1710-20354,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,3/18/99,Wintering,PNW_INW,1,Individual
1710-20356,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,3/19/99,Wintering,PNW_INW,1,Individual
1710-46135,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,1/5/01,Wintering,PNW_INW,1,Individual
1710-46345,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,1/1/01,Wintering,SW,1,Individual
1710-46355,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,1/1/01,Wintering,PNW_INW,1,Individual
1740-91807,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,1/16/99,Wintering,PNW_INW,1,Individual
1740-91841,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,1/12/99,Wintering,PNW_INW,1,Individual
1740-91842,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,1/12/99,Wintering,PNW_INW,1,Individual
1740-91990,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,12/24/99,Wintering,PNW_INW,1,Individual
1740-92000,CR1,bolson,Guanacaste,Costa Rica,10.3552,-85.4195,1/5/01,Wintering,PNW_INW,1,Individual
1710-20358,CR2,chomes,Puntarenas,Costa Rica,10.0693,-84.8993,3/21/99,Wintering,PNW_INW,1,Individual
1710-46117,CR2,chomes,Puntarenas,Costa Rica,10.0693,-84.8993,1/4/00,Wintering,PNW_INW,1,Individual
1710-46141,CR2,chomes,Puntarenas,Costa Rica,10.0693,-84.8993,1/11/01,Wintering,PNW_INW,1,Individual
1740-91986,CR2,chomes,Puntarenas,Costa Rica,10.0693,-84.8993,12/22/99,Wintering,PNW_INW,1,Individual
1740-91995,CR2,chomes,Puntarenas,Costa Rica,10.0693,-84.8993,10/9/00,Wintering,PNW_INW,1,Individual
2150-26574,CR2,playa_caleta,Guanacaste,Costa Rica,9.759,-85.266,2/11/00,Wintering,SW,1,Individual
2150-26575,CR2,playa_caleta,Guanacaste,Costa Rica,9.759,-85.266,2/11/00,Wintering,PNW_INW,1,Individual
1740-91958,CR3,coto,Puntarenas,Costa Rica,8.562,-82.9578,2/6/99,Wintering,PNW_INW,1,Individual
1740-91959,CR3,coto,Puntarenas,Costa Rica,8.562,-82.9578,2/6/99,Wintering,PNW_INW,1,Individual
1740-91960,CR3,coto,Puntarenas,Costa Rica,8.562,-82.9578,2/7/99,Wintering,EST,1,Individual
1740-91961,CR3,coto,Puntarenas,Costa Rica,8.562,-82.9578,2/7/99,Wintering,PNW_INW,1,Individual
1740-91963,CR3,puerto_jimenez,Puntarenas,Costa Rica,8.5155,-83.2942,2/9/99,Wintering,PNW_INW,1,Individual
1740-91964,CR3,puerto_jimenez,Puntarenas,Costa Rica,8.5155,-83.2942,2/9/99,Wintering,PNW_INW,1,Individual
1740-91965,CR3,puerto_jimenez,Puntarenas,Costa Rica,8.5155,-83.2942,2/9/99,Wintering,EST,1,Individual
2240-94362,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/24/04,Wintering,EST,1,Individual
2240-94363,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/24/04,Wintering,EST,1,Individual
